endpoint,granularity,split,treatment,seed,eps,tau,dist,n_train,n_test,threshold,acc_mae,acc_rmse,acc_spearman,acc_n_exact,viol_violation_rate,viol_right_violation_rate,viol_left_violation_rate,viol_n_censored,dec_threshold,dec_false_safe_rate,dec_false_liability_rate,dec_balanced_accuracy,dec_decision_regret,dec_n_resolvable,dec_n_positive,dec_n_negative,cov90,cov90_width,exceed_ece,split_kind,fold,feature_set,anchor_weight,censored_weight
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,4.0,0.85,gaussian,1943,486,5.690369832574101,0.5953473417474193,0.822033925864023,0.7760194440483524,450,0.5,1.0,0.4857142857142857,36,5.690369832574101,0.0990990990990991,0.31417624521072796,0.7933623278450865,0.22345836484928755,483,222,261,0.5688888888888889,1.3883398893136627,0.14781813081498768,random,1,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold1,weighted_tobit_anchor,1,8.0,0.85,gaussian,1943,486,5.690369832574101,0.5362990471939048,0.7703721151184889,0.7833401660232748,450,0.4722222222222222,1.0,0.45714285714285713,36,5.690369832574101,0.15315315315315314,0.20689655172413793,0.8199751475613545,0.19165391410456764,483,222,261,0.5111111111111111,1.1106925879172682,0.12085236825064721,random,1,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,2.0,0.85,gaussian,1943,486,5.681936665037238,0.49325319823564384,0.6946056900313303,0.8187834492431499,445,0.7804878048780488,1.0,0.7692307692307693,41,5.681936665037238,0.12946428571428573,0.18604651162790697,0.8422446013289037,0.1839139156283172,482,224,258,0.5528089887640449,1.1292944095323982,0.10245150519839158,random,2,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,4.0,0.85,gaussian,1943,486,5.681936665037238,0.48740300236353074,0.6946868738524189,0.8219335754009806,445,0.7560975609756098,1.0,0.7435897435897436,41,5.681936665037238,0.13839285714285715,0.1434108527131783,0.8590981450719823,0.18074314401025804,482,224,258,0.6,1.2965855776267907,0.08420031286089194,random,2,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,0,8.0,0.85,gaussian,1943,486,5.681936665037238,0.4977918951138163,0.7003953463704701,0.8185658281809527,445,0.7560975609756098,1.0,0.7435897435897436,41,5.681936665037238,0.13392857142857142,0.16666666666666666,0.8497023809523809,0.18295898315212672,482,224,258,0.5483146067415731,1.1499242073794582,0.09630053239361717,random,2,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,2.0,0.85,gaussian,1943,486,5.681936665037238,0.4915624935859565,0.6956645099036588,0.8224274444761105,445,0.7560975609756098,1.0,0.7435897435897436,41,5.681936665037238,0.13839285714285715,0.17054263565891473,0.8455322535991141,0.18018998091472246,482,224,258,0.5595505617977528,1.2056477336130322,0.0949931835478497,random,2,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,4.0,0.85,gaussian,1943,486,5.681936665037238,0.48977739626816963,0.6877127423736218,0.8258474861190941,445,0.8048780487804879,1.0,0.7948717948717948,41,5.681936665037238,0.125,0.20930232558139536,0.8328488372093024,0.1885719348797489,482,224,258,0.5955056179775281,1.2441233392091569,0.09968637603875652,random,2,morgan,1.0,4.0
ABCB1_IC50,measurement,random_fold2,weighted_tobit_anchor,1,8.0,0.85,gaussian,1943,486,5.681936665037238,0.49762636507123953,0.6945290733472487,0.8245581698447817,445,0.7317073170731707,1.0,0.717948717948718,41,5.681936665037238,0.12053571428571429,0.21705426356589147,0.8312050110741971,0.18772858469069442,482,224,258,0.5932584269662922,1.2805057123130092,0.09654617822144786,random,2,morgan,1.0,8.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,2.0,0.85,gaussian,1943,486,5.6777807052660805,0.5230731317762322,0.7592618915469304,0.8146413224632338,451,0.5428571428571428,1.0,0.5294117647058824,35,5.6777807052660805,0.13135593220338984,0.15725806451612903,0.8556930016402406,0.16886097602211533,484,236,248,0.5764966740576497,1.2638502164735985,0.08300496371067753,random,3,morgan,1.0,2.0
ABCB1_IC50,measurement,random_fold3,weighted_tobit_anchor,0,4.0,0.85,gaussian,1943,486,5.6777807052660805,0.559083330362737,0.7902396592333855,0.8074367547500383,451,0.45714285714285713,1.0,0.4411764705882353,35,5.6777807052660805,0.1652542372881356,0.14112903225806453,0.8468083652269,0.18245834404569072,484,236,248,0.6274944567627494,1.41273483150987,0.08885295324281432,random,3,morgan,1.0,4.0
